title,voting_ends_at,status
Will PEPE hit $0.00002?,2026-01-03 05:36:29.867+00,PROCESSING
Will NEAR hit $10 by NYE?,2026-01-01 11:36:17.965+00,PROCESSING
Will XRP hit $3 by NYE?,2026-01-01 11:30:12.172+00,PROCESSING
Will Avatar 3 hit $2B box office by NYE?,2026-01-01 09:36:17.183+00,PROCESSING
Will BTC hit $120k by New Year's?,2026-01-01 09:24:15.259+00,PROCESSING
Will BTC hit $120k by Jan 1?,2026-01-01 06:54:11.544+00,PROCESSING
Will BTC hit $120k before NYE?,2026-01-01 04:36:11.391+00,PROCESSING
Will Bitcoin hit $115k before 2026?,2026-01-01 02:00:10.301+00,PROCESSING
Will Solana hit $300 before NYE?,2026-01-01 01:54:15.452+00,PROCESSING
Will XRP hit $4 before NYE?,2026-01-01 01:30:16.124+00,PROCESSING
Will SUI hit $5 before NYE?,2026-01-01 01:24:21.629+00,PROCESSING
Will SHIB hit $0.00004 before NYE?,2026-01-01 01:12:15.926+00,PROCESSING
Will ETH hit $5k before NYE?,2026-01-01 00:30:21.786+00,PROCESSING
Will Bitcoin hit $110k by New Year's?,2025-12-31 23:43:28.205+00,LIVE
Will SOL hit $400 by NYE?,2025-12-31 10:54:12.918+00,PROCESSING
Will RNDR hit $10 by NYE?,2025-12-31 10:36:14.987+00,PROCESSING
Will SOL hit $300 by NYE?,2025-12-31 10:24:09.593+00,PROCESSING
Will BONK hit $0.00004 by NYE?,2025-12-31 10:00:28.381+00,PROCESSING
Will PEPE hit $0.00003 before NYE?,2025-12-31 03:24:11.764+00,PROCESSING
Will ETH hit $4k before NYE?,2025-12-31 02:48:11.071+00,PROCESSING
Will LINK hit $20 before NYE?,2025-12-31 02:36:14.582+00,PROCESSING
Will BRETT hit $0.20 before NYE?,2025-12-31 02:12:13.419+00,PROCESSING
Will Dogecoin hit $0.40 before NYE?,2025-12-31 00:54:12.044+00,PROCESSING
Will Mariah's Christmas song hit #1 on Spotify tomorrow?,2025-12-28 12:12:17.53+00,PROCESSING
Will TON hit $10 tomorrow?,2025-12-28 12:06:21.858+00,PROCESSING
Will POPCAT hit $2 tomorrow?,2025-12-28 12:00:22.712+00,PROCESSING
"Will ETH hit $5,500 tomorrow?",2025-12-28 11:24:17.282+00,PROCESSING
Will Elon tweet about Tesla tomorrow?,2025-12-28 11:18:17.575+00,PROCESSING
Will Bitcoin hit $125k in next 24 hours?,2025-12-28 11:12:15.843+00,PROCESSING
Will DOGE hit $0.40 tomorrow?,2025-12-28 10:48:17.902+00,PROCESSING
Will Elon Musk tweet about Dogecoin tomorrow?,2025-12-28 10:30:19.816+00,PROCESSING
Will Bitcoin hit $128k tomorrow?,2025-12-28 09:48:21.181+00,PROCESSING
Will TON hit $10 tomorrow?,2025-12-28 09:30:26.023+00,PROCESSING
Will ETH hit $4500 tomorrow?,2025-12-28 09:18:14.073+00,PROCESSING
Will LINK hit $30 tomorrow?,2025-12-28 08:54:25.995+00,PROCESSING
Will XRP hit $3 tomorrow?,2025-12-28 08:48:17.358+00,PROCESSING
Will BTC hit $130k tomorrow?,2025-12-28 08:42:20.622+00,PROCESSING
Will SHIB hit $0.00003 tomorrow?,2025-12-28 08:30:16.953+00,PROCESSING
Will SOL hit $300 tomorrow?,2025-12-28 08:18:16.565+00,PROCESSING
Will PEPE hit $0.00002 tomorrow?,2025-12-28 08:06:21.515+00,PROCESSING
Will Elon Musk tweet about Dogecoin today?,2025-12-28 07:54:13.591+00,PROCESSING
Will Taylor Swift top Spotify Global tomorrow?,2025-12-28 07:48:19.116+00,PROCESSING
Will MrBeast upload a new video today?,2025-12-28 07:42:23.033+00,PROCESSING
Will POPCAT hit $1 tomorrow?,2025-12-28 07:36:24.074+00,PROCESSING
Will WIF hit $4 tomorrow?,2025-12-28 07:30:13.043+00,PROCESSING
Will BTC hit $115k tomorrow?,2025-12-28 07:24:14.606+00,PROCESSING
Will Mariah Carey top Spotify Global today?,2025-12-28 07:12:24.14+00,PROCESSING
Will Steph Curry score 30+ pts tonight?,2025-12-28 06:36:15.364+00,PROCESSING
"Will ETH hit $4,500 tomorrow?",2025-12-28 06:30:16.693+00,PROCESSING
Will TON hit $10 tomorrow?,2025-12-28 06:24:16.196+00,PROCESSING
Will XRP hit $3 tomorrow?,2025-12-28 06:12:14.919+00,PROCESSING
Will SOL hit $320 tomorrow?,2025-12-28 06:06:14.643+00,PROCESSING
"Will ETH hit $4,200 tomorrow?",2025-12-28 06:00:26.537+00,PROCESSING
Will DOGE hit $0.50 tomorrow?,2025-12-28 05:54:13.981+00,PROCESSING
Will FLOKI hit $0.0004 tomorrow?,2025-12-28 05:48:21.567+00,PROCESSING
Will MOG hit $0.000002?,2025-12-28 05:42:11.137+00,PROCESSING
Will WIF hit $3 tomorrow?,2025-12-28 05:00:14.85+00,PROCESSING
Will MrBeast upload a new video today?,2025-12-28 04:48:14.46+00,PROCESSING
Will BONK hit $0.00003 tomorrow?,2025-12-28 04:42:15.046+00,PROCESSING
Will ADA hit $1 tomorrow?,2025-12-28 04:24:24.879+00,PROCESSING
Will APT hit $15 tomorrow?,2025-12-28 04:06:18.779+00,PROCESSING
Will AVAX hit $50 tomorrow?,2025-12-28 03:36:14.744+00,PROCESSING
Will INJ hit $30 tomorrow?,2025-12-28 02:54:17.941+00,PROCESSING
Will DOT hit $15 tomorrow?,2025-12-28 02:24:17.012+00,PROCESSING
Will TON hit $8 tomorrow?,2025-12-28 02:06:13.045+00,PROCESSING
Will NEAR hit $10 tomorrow?,2025-12-28 01:48:10.954+00,PROCESSING
Will KAS hit $0.30 tomorrow?,2025-12-28 01:42:23.257+00,PROCESSING
Will BONK hit $0.00005 today?,2025-12-28 01:18:21.564+00,PROCESSING
Will MEW hit $0.01?,2025-12-28 01:06:18.902+00,PROCESSING
Will ADA hit $1 tomorrow?,2025-12-28 01:00:19.472+00,PROCESSING
Will POPCAT hit $2 today?,2025-12-28 00:24:20.129+00,LIVE
Will Luka score 30+ tonight?,2025-12-28 00:18:27.096+00,LIVE
Will Solana hit $350 by tomorrow?,2025-12-28 00:06:11.172+00,LIVE
Will Curry score 30+ tonight?,2025-12-27 23:54:17.073+00,PROCESSING
Will Elon tweet about Dogecoin today?,2025-12-27 23:48:18.138+00,LIVE
Will Jokic get a triple-double tonight?,2025-12-27 23:42:12.305+00,PROCESSING
Will LeBron score 30+ pts tonight?,2025-12-27 22:42:20.041+00,PROCESSING
Will the Warriors win tonight?,2025-12-27 21:12:18.399+00,PROCESSING
Will Ant-Man score 30+ tonight?,2025-12-27 20:36:29.895+00,PROCESSING
Will Luka Doncic get a triple-double tonight?,2025-12-27 19:18:17.716+00,PROCESSING
Will Anthony Edwards score 30+ pts tonight?,2025-12-27 18:18:26.187+00,PROCESSING
Will Giannis score 30+ tonight?,2025-12-27 15:48:13.964+00,PROCESSING
Will Celtics win tonight?,2025-12-27 15:12:22.182+00,PROCESSING
Will Tatum score 30+ pts tonight?,2025-12-27 15:06:21.242+00,PROCESSING
Will PEPE hit $0.00003 next 4 hours?,2025-12-27 15:00:27.457+00,PROCESSING
Will ADA hit $1?,2025-12-27 14:18:17.074+00,PROCESSING
Will WIF hit $3?,2025-12-27 14:12:14.621+00,PROCESSING
Will FLOKI hit $0.0004?,2025-12-27 14:06:15.042+00,PROCESSING
Will POPCAT hit $2?,2025-12-27 13:54:18.439+00,PROCESSING
Will Bitcoin hit $122k next 4 hours?,2025-12-27 13:42:10.942+00,PROCESSING
"Will ETH hit $4,200 next 4h?",2025-12-27 12:24:19.262+00,PROCESSING
Will LeBron score 30+ pts tonight?,2025-12-27 12:12:18.362+00,PROCESSING
Will Jokic get a triple-double tonight?,2025-12-27 12:06:21.568+00,PROCESSING
Will Giannis score 30+ pts tonight?,2025-12-27 12:00:24.231+00,PROCESSING
Will Steph Curry score 30+ points tonight?,2025-12-27 12:00:17.467+00,LIVE
Will DOGE hit $0.40?,2025-12-27 12:00:17.254+00,PROCESSING
Will Arsenal win their Boxing Day match?,2025-12-27 11:54:16.588+00,PROCESSING
"Will ETH hit $4,000 next 4 hours?",2025-12-27 11:06:16.38+00,PROCESSING
Will Nikola Jokic record a triple-double tonight?,2025-12-27 11:00:16.153+00,PROCESSING
Will BTC hit $112k next 4 hours?,2025-12-27 10:48:20.699+00,PROCESSING
Will BTC hit $110k next 4 hours?,2025-12-27 10:42:14.012+00,PROCESSING
Will Steph Curry drop 30+ pts tonight?,2025-12-27 10:30:17.597+00,PROCESSING
Will FLOKI hit $0.0004?,2025-12-27 09:42:16.486+00,PROCESSING
Will POPCAT hit $1?,2025-12-27 09:30:14.274+00,PROCESSING
Will LINK hit $25?,2025-12-27 09:24:18.821+00,PROCESSING
"Will ETH hit $3,400?",2025-12-27 09:18:14.185+00,PROCESSING
Will BTC hit $108k?,2025-12-27 09:06:15.957+00,PROCESSING
Will SHIB hit $0.00003?,2025-12-27 08:54:13.723+00,PROCESSING
Will LeBron score 30+ pts tonight?,2025-12-27 08:18:15.176+00,PROCESSING
Will MrBeast upload a new video today?,2025-12-27 08:18:14.638+00,PROCESSING
Will Mahomes throw 3+ TDs tonight?,2025-12-27 08:12:23.207+00,PROCESSING
"Will ETH hit $3,800?",2025-12-27 08:12:15.615+00,PROCESSING
Will SOL hit $400?,2025-12-27 08:00:15.686+00,PROCESSING
Will XRP hit $4?,2025-12-27 07:54:17.154+00,PROCESSING
Will SUI hit $5?,2025-12-27 07:48:16.922+00,PROCESSING
Will Dogecoin hit $0.45?,2025-12-27 07:18:16.094+00,PROCESSING
Will POPCAT hit $1?,2025-12-27 07:06:11.209+00,PROCESSING
Will BTC hit $108k?,2025-12-27 07:00:16.341+00,PROCESSING
Will BTC hit $108k?,2025-12-27 06:42:15.088+00,PROCESSING
Will SOL hit $280?,2025-12-27 06:36:14.676+00,PROCESSING
Will WIF hit $3.50?,2025-12-27 06:30:18.939+00,PROCESSING
Will Jokic get a triple-double tonight?,2025-12-27 06:30:17.14+00,PROCESSING
Will the Lakers beat the Clippers tonight?,2025-12-27 05:42:14.664+00,SETTLED
Will HBAR hit $0.50?,2025-12-27 05:36:19.911+00,SETTLED
Will PEPE hit $0.00003?,2025-12-27 04:48:13.531+00,SETTLED
"Will ETH hit $4,000?",2025-12-27 04:18:14.847+00,SETTLED
Will WIF hit $5?,2025-12-27 04:12:11.301+00,SETTLED
